;avgGS;lat;long;maxGS;minGS;numGS;stdDevGS;Country_Code;Avis;Date
1734;-10.0;36.204824;138.252924;-10.0;-10.0;3;0.0;JPN;neg;2017-04-22
490;1.1285714285714286;36.204824;138.252924;3.4;0.0;14;1.3128097302180168;JPN;pos;2017-04-22
1809;3.466666666666667;47.516231;14.550072;5.2;0.0;3;2.451303508113365;AUT;pos;2017-04-22
1152;-6.1;41.87194;12.56738;-2.0;-10.0;5;3.5832945734337835;ITA;neg;2017-04-22
2291;2.8;40.339852;127.510093;2.8;2.8;2;0.0;PRK;pos;2017-04-22
1000;-10.0;34.802075;38.996815;-10.0;-10.0;6;0.0;SYR;neg;2017-04-22
2770;2.5;43.750298;7.412841;2.5;2.5;1;0.0;MCO;pos;2017-04-22
1371;1.3;-38.416097;-63.616672;5.2;0.0;4;2.2516660498395407;ARG;pos;2017-04-22
1202;3.28;1.352083;103.819836;4.0;2.8;5;0.587877538267963;SGP;pos;2017-04-22
2669;-2.0;9.081999;8.675277;-2.0;-2.0;1;0.0;NGA;neg;2017-04-22
1173;2.92;39.074208;21.824312;7.0;1.0;5;2.193080025899648;GRC;pos;2017-04-22
376;3.6;35.86166;104.195397;8.0;0.0;19;3.480925466777931;CHN;pos;2017-04-22
1178;-1.3599999999999999;61.52401;105.318756;-0.4;-2.0;5;0.783836717690617;RUS;neg;2017-04-22
1413;2.275;40.463667;-3.74922;2.8;1.9;4;0.3897114317029974;ESP;pos;2017-04-22
793;-7.1875;55.378051;-3.435973;-2.0;-10.0;8;3.0407390137925354;GBR;neg;2017-04-22
792;1.1125;31.046051;34.851612;3.5;0.0;8;1.508672843926078;ISR;pos;2017-04-22
2941;-2.0;12.862807;30.217636;-2.0;-2.0;1;0.0;SDN;neg;2017-04-22
1610;2.2666666666666666;9.081999;8.675277;3.4;0.0;3;1.6027753706895076;NGA;pos;2017-04-22
1749;7.0;14.058324;108.277199;7.0;7.0;3;0.0;VNM;pos;2017-04-22
1460;2.8;28.033886;1.659626;2.8;2.8;4;0.0;DZA;pos;2017-04-22
401;2.1444444444444444;50.503887;4.469936;7.0;0.0;18;1.6028523957211829;BEL;pos;2017-04-22
3103;1.9;48.8667;2.33333;1.9;1.9;1;0.0;AFR;pos;2017-04-22
